Society_Name,Locality,Price,Average Price,BHK Type,Area,Possession Status
Primarks Eco Nest,Kompally Hyderabad,₹1.03 Cr,"₹4,799 per sqft",3 BHK Apartment for Sale in Kompally Hyderabad,2165 sqft,Poss. by Dec '24
Risinia Skyon,Bachupally Hyderabad,₹85 Lac,"₹6,741 per sqft",2 BHK Apartment for Sale in Bachupally Hyderabad,1261 sqft,Ready to Move
Hallmark Treasor,"Narsingi, Outer Ring Road Hyderabad",₹2.34 Cr,"₹9,250 per sqft","3 BHK Apartment for Sale in Narsingi, Outer Ring Road Hyderabad",2540 sqft,Poss. by Nov '24
Subishis Nest Residences,Kandlakoya Hyderabad,₹1.31 Cr,"₹6,000 per sqft",3 BHK Apartment for Sale in Kandlakoya Hyderabad,2185 sqft,Poss. by Nov '27
Sai Sravanthi Pavani Felicity,Nizampet Hyderabad,₹1.67 Cr,"₹7,360 per sqft",3 BHK Apartment for Sale in Nizampet Hyderabad,2269 sqft,Poss. by Dec '26
Jains Fairmount Sri Ram Garden 2,Kompally Hyderabad,₹79.5 Lac,"₹6,795 per sqft",2 BHK Apartment for Sale in Kompally Hyderabad,1170 sqft,Poss. by Mar '25
Lansum Elena,"Kokapet, Outer Ring Road Hyderabad",₹2.64 Cr,"₹10,000 per sqft","3 BHK Apartment for Sale in Kokapet, Outer Ring Road Hyderabad",2640 sqft,Poss. by Dec '28
Praneeth PBR Pranav Ixora,"Hyder Nagar, NH 9 Hyderabad",₹1.99 Cr,N/A,"3 BHK Apartment for Sale in Hyder Nagar, NH 9 Hyderabad",2630 sqft,Poss. by Dec '26
Aranya Kalanjali,"Kompally, Hyderabad",₹1.54 Cr,"₹6,500 per sqft",3 BHK,2375 sqft,Poss. by Dec '26
Samracana Swasthi,"Kollur, Outer Ring Road Hyderabad",₹1.01 Cr,"₹5,500 per sqft","3 BHK Apartment for Sale in Kollur, Outer Ring Road Hyderabad",1850 sqft,Poss. by Nov '29
Supadha Gamya,"Tellapur, Outer Ring Road Hyderabad",₹2.35 Cr,"₹9,671 per sqft","3 BHK Apartment for Sale in Tellapur, Outer Ring Road Hyderabad",2430 sqft,Poss. by Jun '27
Aakriti Miro,Nalagandla Hyderabad,₹1.72 Cr,"₹7,999 per sqft",3 BHK Apartment for Sale in Nalagandla Hyderabad,2162 sqft,Poss. by Oct '26
Bhanodayas Crystal,Gundlapochampalli Hyderabad,₹85.5 Lac,"₹5,245 per sqft",3 BHK Apartment for Sale in Gundlapochampalli Hyderabad,1630 sqft,Poss. by Sep '28
Silpas Kalpavriksha,Bahadurpally Hyderabad,₹43.9 Lac,"₹4,000 per sqft",3 BHK Apartment for Sale in Bahadurpally Hyderabad,1098 sqft,Poss. by Dec '26
EIPL CORNERSTONE,Puppalguda Hyderabad,₹1.64 Cr,"₹8,410 per sqft",3 BHK Apartment for Sale in Puppalguda Hyderabad,1950 sqft,Ready to Move
GKs Zenith,Yapral Hyderabad,₹72 Lac,"₹6,000 per sqft",2 BHK Apartment for Sale in Yapral Hyderabad,1200 sqft,Poss. by Jan '26
Concrete Avasa,Nagole Hyderabad,₹71.1 Lac,"₹5,621 per sqft",2 BHK Apartment for Sale in Nagole Hyderabad,1265 sqft,Ready to Move
Vajras Abode,"Kukatpally, NH 9 Hyderabad",₹1.34 Cr,"₹7,776 per sqft","3 BHK Apartment for Sale in Kukatpally, NH 9 Hyderabad",1730 sqft,Poss. by Sep '28
